num_a,num_b,num_c,conta,resultado da operacao,quantidade de digitos
853375840,316045546,448747033,853375840 * (316045546 + 448747033) = ?,652655509529891360,9 dígitos
193539835,814839800,822241362,193539835 * (814839800 + 822241362) = ?,316840417975088270,9 dígitos
844173893,364295833,834264276,844173893 * (364295833 + 834264276) = ?,1011793153209034337,9 dígitos
922344509,652983364,113947601,922344509 * (652983364 + 113947601) = ?,707374564349821185,9 dígitos
249720191,524741868,439673614,249720191 * (524741868 + 439673614) = ?,240834018368397062,9 dígitos
731444371,231979567,157375416,731444371 * (231979567 + 157375416) = ?,284791510636150693,9 dígitos
943301540,952178738,378705881,943301540 * (952178738 + 378705881) = ?,1255425510665013260,9 dígitos
619587050,106936198,729400754,619587050 * (106936198 + 729400754) = ?,518183544895671600,9 dígitos
755613960,475982112,714029013,755613960 * (475982112 + 714029013) = ?,899189018605305000,9 dígitos
461374144,676851079,946023542,461374144 * (676851079 + 946023542) = ?,748752389083199424,9 dígitos
823414753,165273468,245514584,823414753 * (165273468 + 245514584) = ?,338248942372931156,9 dígitos
921707208,982700151,952999659,921707208 * (982700151 + 952999659) = ?,1784148467401230480,9 dígitos
715985643,367689168,252715082,715985643 * (367689168 + 252715082) = ?,444200535856182750,9 dígitos
621068626,482664277,689697288,621068626 * (482664277 + 689697288) = ?,728116986349759690,9 dígitos
967629449,258905560,217925524,967629449 * (258905560 + 217925524) = ?,461395799076992716,9 dígitos
558669770,514051859,594954379,558669770 * (514051859 + 594954379) = ?,619568259912025260,9 dígitos
765963750,340028593,742101710,765963750 * (340028593 + 742101710) = ?,828872584874516250,9 dígitos
560760581,621092496,324784184,560760581 * (621092496 + 324784184) = ?,530410356631151080,9 dígitos
847049284,246014286,963813487,847049284 * (246014286 + 963813487) = ?,1024783748882964532,9 dígitos
743751602,408038210,298709890,743751602 * (408038210 + 298709890) = ?,525645031585456200,9 dígitos
293443534,573432239,841734495,293443534 * (573432239 + 841734495) = ?,415271527624197956,9 dígitos
863333447,764657541,489108740,863333447 * (764657541 + 489108740) = ?,1082418365108100607,9 dígitos
536995950,296390415,496801261,536995950 * (296390415 + 496801261) = ?,425940717585712200,9 dígitos
388908340,590366736,752440358,388908340 * (590366736 + 752440358) = ?,522228877867763960,9 dígitos
522315908,701485911,505733210,522315908 * (701485911 + 505733210) = ?,630549751340076868,9 dígitos
296129048,967186285,775815085,296129048 * (967186285 + 775815085) = ?,516153336360795760,9 dígitos
184851745,494130382,596357666,184851745 * (494130382 + 596357666) = ?,201578618574443760,9 dígitos
795312665,614756451,385124065,795312665 * (614756451 + 385124065) = ?,795217637861535140,9 dígitos
440501282,849356534,345906868,440501282 * (849356534 + 345906868) = ?,526515060908681364,9 dígitos
650054670,104815682,402254504,650054670 * (104815682 + 402254504) = ?,329623342427068620,9 dígitos
137042568,528388515,752992618,137042568 * (528388515 + 752992618) = ?,175603761053069544,9 dígitos
534573175,169432281,167516937,534573175 * (169432281 + 167516937) = ?,180124013280027150,9 dígitos
348243357,639719657,787428835,348243357 * (639719657 + 787428835) = ?,496994981791567644,9 dígitos
757893305,581331152,611268056,757893305 * (581331152 + 611268056) = ?,903862955291502440,9 dígitos
715599434,867353786,460528631,715599434 * (867353786 + 460528631) = ?,950231906023751978,9 dígitos
7961504678,5786155778,8990927902,7961504678 * (5786155778 + 8990927902) = ?,117647820845517455040,10 dígitos
7800564898,3961934109,6118387338,7800564898 * (3961934109 + 6118387338) = ?,78632201640024767406,10 dígitos
8718991253,8978653149,1534987038,8718991253 * (8978653149 + 1534987038) = ?,91668336827642284311,10 dígitos
5978797818,1768717963,6665485211,5978797818 * (1768717963 + 6665485211) = ?,50426395533279874332,10 dígitos
4089827938,5141691435,5364012291,4089827938 * (5141691435 + 5364012291) = ?,42966520606945496988,10 dígitos
6363814702,2422959111,6096034241,6363814702 * (2422959111 + 6096034241) = ?,54213295139697861104,10 dígitos
4731388413,2679929721,6067168562,4731388413 * (2679929721 + 6067168562) = ?,41385919463558394879,10 dígitos
6860568632,6623226145,8412316814,6860568632 * (6623226145 + 8412316814) = ?,103152374389603862088,10 dígitos
8827791512,1400279732,3755651946,8827791512 * (1400279732 + 3755651946) = ?,45515489903500317136,10 dígitos
9267822428,4895790895,8830720636,9267822428 * (4895790895 + 8830720636) = ?,127214871425202417268,10 dígitos
7263557014,4066850571,7103491754,7263557014 * (4066850571 + 7103491754) = ?,81136418343534817550,10 dígitos
5039656472,2461469924,6125610358,5039656472 * (2461469924 + 6125610358) = ?,43275934718764885104,10 dígitos
4286087070,3308827247,4596895353,4286087070 * (3308827247 + 4596895353) = ?,33884615414866782000,10 dígitos
3804318832,9060013684,7197185964,3804318832 * (9060013684 + 7197185964) = ?,61847570776470171136,10 dígitos
7205422338,8979659257,3262986755,7205422338 * (8979659257 + 3262986755) = ?,88213435051091416056,10 dígitos
2020196916,2145659979,4513298570,2020196916 * (2145659979 + 4513298570) = ?,13452407524461634884,10 dígitos
9191638274,1684739210,3819545545,9191638274 * (1684739210 + 3819545545) = ?,50593394425052712870,10 dígitos
2192769091,9765193623,4467896983,2192769091 * (9765193623 + 4467896983) = ?,31209881150239259146,10 dígitos
8703237239,7507215050,7151937541,8703237239 * (7507215050 + 7151937541) = ?,127582082722174536249,10 dígitos
3867708560,2584673848,3379478361,3867708560 * (2584673848 + 3379478361) = ?,23067602551892209040,10 dígitos
2349741247,7068313097,5596056294,2349741247 * (7068313097 + 5596056294) = ?,29757991125276970577,10 dígitos
4623448910,7966139389,7716156697,4623448910 * (7966139389 + 7716156697) = ?,72506294745113966260,10 dígitos
6246355030,1851849095,7178663804,6246355030 * (1851849095 + 7178663804) = ?,56407789670148531970,10 dígitos
8745700491,9015809681,9906806189,8745700491 * (9015809681 + 9906806189) = ?,165491530905263392170,10 dígitos
9091464340,7736841036,8057770519,9091464340 * (7736841036 + 8057770519) = ?,143596147716434448700,10 dígitos
6986706273,7243557166,2711489935,6986706273 * (7243557166 + 2711489935) = ?,69552990028567164573,10 dígitos
9934177193,7225478871,9591546619,9934177193 * (7225478871 + 9591546619) = ?,167063311076857649570,10 dígitos
5946839963,6624466202,7410476894,5946839963 * (6624466202 + 7410476894) = ?,83463560481723745448,10 dígitos
4216843010,6378316324,3136953218,4216843010 * (6378316324 + 3136953218) = ?,40124397856448601420,10 dígitos
2705429884,2442677498,1941740751,2705429884 * (2442677498 + 1941740751) = ?,11861736154799553116,10 dígitos
2147770233,9584261010,6965726178,2147770233 * (9584261010 + 6965726178) = ?,35545569838917774804,10 dígitos
1608412884,1202782721,5251187900,1608412884 * (1202782721 + 5251187900) = ?,10380649499773880964,10 dígitos
2888964769,8178525945,2278663674,2888964769 * (8178525945 + 2278663674) = ?,30210452392043533011,10 dígitos
7766389014,4700832457,9796761929,7766389014 * (4700832457 + 9796761929) = ?,112593957768858475404,10 dígitos
4769979919,8348452620,5251940035,4769979919 * (8348452620 + 5251940035) = ?,64873599854865094945,10 dígitos
7057070630,6550337854,6125783890,7057070630 * (6550337854 + 6125783890) = ?,89456286461886778720,10 dígitos
8565990326,9255107385,4607899457,8565990326 * (9255107385 + 4607899457) = ?,118750382497843810492,10 dígitos
7021972603,8913977697,9090420652,7021972603 * (8913977697 + 9090420652) = ?,126426391940176432447,10 dígitos
2413030699,9268095977,5283701458,2413030699 * (9268095977 + 5283701458) = ?,35113933936284457065,10 dígitos
4185813312,3166681373,8294104221,4185813312 * (3166681373 + 8294104221) = ?,47972708905343027328,10 dígitos
5624876700,8683679188,2352784770,5624876700 * (8683679188 + 2352784770) = ?,62078748967743978600,10 dígitos
5898936815,3780654329,2172294508,5898936815 * (3780654329 + 2172294508) = ?,35116069052390734155,10 dígitos
9085126110,1528702295,9631101626,9085126110 * (1528702295 + 9631101626) = ?,101388225985157477310,10 dígitos
9665579026,5344385410,3946574188,9665579026 * (5344385410 + 3946574188) = ?,89802504221842191548,10 dígitos
9032594512,4786528913,3149601324,9032594512 * (4786528913 + 3149601324) = ?,71683846425243459344,10 dígitos
1090518070,3901694285,8777622660,1090518070 * (3901694285 + 8777622660) = ?,13827024243779696150,10 dígitos
2682479366,4533219535,2666102945,2682479366 * (4533219535 + 2666102945) = ?,19312034001779947680,10 dígitos
7698942389,7322156605,6110326838,7698942389 * (7322156605 + 6110326838) = ?,103415916168853365327,10 dígitos
4557317287,1459832572,1896659941,4557317287 * (1459832572 + 1896659941) = ?,15296601353180972231,10 dígitos
3189388074,1295035515,1388198782,3189388074 * (1295035515 + 1388198782) = ?,8557875466599573978,10 dígitos
